from_vtd10,to_vtd20,weight
120090239,12009000320,0.6659676455
120090240,12009000320,1.0000000000
120090241,12009000320,1.0000000000
120090242,12009000307,0.6666666667
120090242,12009000321,0.3333333333
120090243,12009000307,1.0000000000
120090244,12009000307,0.4032280073
120090244,12009000321,0.5967719927
120090245,12009000307,1.0000000000
120090246,12009000523,0.2510836399
120090246,12009000524,0.7489163600
120090247,12009000417,0.1428571429
120090247,12009000425,0.8562643143
120090247,12009000428,0.0008785428
120090248,12009000417,1.0000000000
120090249,12009000317,0.9195067985
120090249,12009000319,0.0804932015
120090250,12009000319,1.0000000000
120090251,12009000315,1.0000000000
120090252,12009000409,1.0000000000
120090253,12009000210,0.9990999149
120090253,12009000214,0.0009000851
120090254,12009000422,0.8461538462
120090254,12009000426,0.0769230769
120090254,12009000511,0.0769230769
120090255,12009000422,0.7928888659
120090255,12009000426,0.1237778008
120090255,12009000441,0.0416666667
120090255,12009000518,0.0416666667
120090256,12009000422,1.0000000000
120090257,12009000309,1.0000000000
120090258,12009000309,1.0000000000
120090259,12009000000,0.0082342673
120090259,12009000126,0.9875290142
120090259,12009000205,0.0042367185
120090260,12009000404,0.9955616364
120090260,12009000405,0.0044383636
120090261,12009000219,0.9901069567
120090261,12009000228,0.0098930433
120090262,12009000224,1.0000000000
120090263,12009000224,1.0000000000
120090264,12009000224,1.0000000000
120090265,12009000209,0.0285714286
120090265,12009000233,0.9714285714
120090266,12009000207,1.0000000000
120090267,12009000214,0.7441860465
120090267,12009000234,0.2558139535
120090268,12009000512,0.1666666667
120090268,12009000525,0.8333333333
120090269,12009000525,1.0000000000
120090270,12009000525,1.0000000000
120090271,12009000525,1.0000000000
120090272,12009000525,1.0000000000
120090273,12009000525,1.0000000000
120090274,12009000103,0.2399483330
120090274,12009000109,0.7600516670
120090275,12009000109,0.8333333333
120090275,12009000126,0.1666666667
120090276,12009000103,0.1661440880
120090276,12009000109,0.8338559120
120090277,12009000109,1.0000000000
120090278,12009000103,0.5000000000
120090278,12009000109,0.5000000000
120090279,12009000112,0.0909090909
120090279,12009000114,0.7272727273
120090279,12009000116,0.1818181818
120090280,12009000114,1.0000000000
120090281,12009000114,0.7500000000
120090281,12009000116,0.2500000000
120090282,12009000114,0.4688681802
120090282,12009000116,0.5311318198
120090283,12009000116,1.0000000000
120090284,12009000114,0.0305058481
